Name,MLP,FCN
50words,68.4 ,62.7 
Adiac,39.7 ,84.4 
ArrowHead,77.8 ,84.3 
Beef,72.0 ,69.7 
BeetleFly,87.0 ,86.0 
BirdChicken,77.5 ,95.5 
CBF,87.2 ,99.4 
Car,76.7 ,90.5 
ChlorineConcentration,80.2 ,81.4 
CinC_ECG_torso,84.0 ,82.4 
Coffee,99.6 ,100.0 
Computers,56.3 ,82.2 
Cricket_X,59.1 ,79.2 
Cricket_Y,60.0 ,78.7 
Cricket_Z,61.7 ,81.1 
DiatomSizeReduction,91.0 ,31.3 
DistalPhalanxOutlineAgeGroup,65.7 ,71.0 
DistalPhalanxOutlineCorrect,72.6 ,76.0 
DistalPhalanxTW,61.7 ,69.0 
ECG200,91.6 ,88.9 
ECG5000,92.9 ,94.0 
ECGFiveDays,97.0 ,98.7 
Earthquakes,71.7 ,72.7 
ElectricDevices,59.2 ,70.2 
FISH,84.8 ,95.8 
FaceAll,79.3 ,94.5 
FaceFour,84.0 ,92.8 
FacesUCR,83.3 ,94.6 
FordA,73.0 ,90.4 
FordB,60.3 ,87.8 
Gun_Point,92.7 ,100.0 
Ham,69.1 ,71.8 
HandOutlines,91.8 ,80.6 
Haptics,43.3 ,48.0 
Herring,52.8 ,60.8 
InlineSkate,33.7 ,33.9 
InsectWingbeatSound,60.7 ,39.3 
ItalyPowerDemand,95.4 ,96.1 
LargeKitchenAppliances,47.3 ,90.2 
Lighting2,67.0 ,73.9 
Lighting7,63.0 ,82.7 
MALLAT,91.8 ,96.7 
Meat,89.7 ,85.3 
MedicalImages,72.1 ,77.9 
MiddlePhalanxOutlineAgeGroup,53.1 ,55.3 
MiddlePhalanxOutlineCorrect,77.0 ,80.1 
MiddlePhalanxTW,53.4 ,51.2 
MoteStrain,85.8 ,93.7 
NonInvasiveFatalECG_Thorax1,91.6 ,95.6 
NonInvasiveFatalECG_Thorax2,91.7 ,95.3 
OSULeaf,55.7 ,97.7 
OliveOil,66.7 ,72.3 
PhalangesOutlinesCorrect,73.5 ,82.0 
Phoneme,9.6 ,32.5 
Plane,97.8 ,100.0 
ProximalPhalanxOutlineAgeGroup,85.6 ,83.1 
ProximalPhalanxOutlineCorrect,73.3 ,90.3 
ProximalPhalanxTW,76.7 ,76.7 
RefrigerationDevices,37.9 ,50.8 
ScreenType,40.3 ,62.5 
ShapeletSim,50.3 ,72.4 
ShapesAll,77.1 ,89.5 
SmallKitchenAppliances,37.1 ,78.3 
SonyAIBORobotSurface,67.2 ,96.0 
SonyAIBORobotSurfaceII,83.4 ,97.9 
StarLightCurves,94.9 ,96.1 
Strawberry,96.1 ,97.2 
SwedishLeaf,85.1 ,96.9 
Symbols,83.2 ,95.5 
ToeSegmentation1,58.3 ,96.1 
ToeSegmentation2,74.5 ,88.0 
Trace,80.7 ,100.0 
TwoLeadECG,76.2 ,100.0 
Two_Patterns,94.6 ,87.1 
UWaveGestureLibraryAll,95.5 ,81.7 
Wine,56.5 ,58.7 
WordsSynonyms,59.8 ,56.4 
Worms,45.7 ,76.5 
WormsTwoClass,60.1 ,72.6 
synthetic_control,97.6 ,98.5 
uWaveGestureLibrary_X,76.7 ,75.4 
uWaveGestureLibrary_Y,69.8 ,63.9 
uWaveGestureLibrary_Z,69.7 ,72.6 
wafer,99.6 ,99.7 
yoga,85.5 ,83.9 
